,tag,patterns,responses
10,evening,Selamat sore,"['Selamat sore. Bagaimana harimu?', 'Sore yang baik. Bagaimana perjalanannya hari ini?', 'Selamat sore. Apa kabar? Bagaimana harimu berjalan?', 'Sore yang menyenangkan. Bagaimana keadaanmu hari ini?', 'Selamat sore. Semoga hari Anda berjalan lancar. Bagaimana kabar Anda?']"
11,evening,sore,"['Selamat sore. Bagaimana harimu?', 'Sore yang baik. Bagaimana perjalanannya hari ini?', 'Selamat sore. Apa kabar? Bagaimana harimu berjalan?', 'Sore yang menyenangkan. Bagaimana keadaanmu hari ini?', 'Selamat sore. Semoga hari Anda berjalan lancar. Bagaimana kabar Anda?']"
12,night,Selamat malam,"['Selamat malam. Pastikan Anda tidur dengan cukup.', 'Selamat malam. Mimpi indah.']"
13,night,malam,"['Selamat malam. Pastikan Anda tidur dengan cukup.', 'Selamat malam. Mimpi indah.']"
14,goodbye,Sampai jumpa,"['Sampai jumpa lagi ', 'Semoga harimu menyenangkan']"
15,goodbye,Selamat tinggal,"['Sampai jumpa lagi ', 'Semoga harimu menyenangkan']"
16,goodbye,Sayonara,"['Sampai jumpa lagi ', 'Semoga harimu menyenangkan']"
17,goodbye,ok bye,"['Sampai jumpa lagi ', 'Semoga harimu menyenangkan']"
18,goodbye,bye,"['Sampai jumpa lagi ', 'Semoga harimu menyenangkan']"
19,goodbye,Sampai jumpa,"['Sampai jumpa lagi ', 'Semoga harimu menyenangkan']"
20,goodbye,Sampai jumpa lagi,"['Sampai jumpa lagi ', 'Semoga harimu menyenangkan']"
21,goodbye,Semoga sukses,"['Sampai jumpa lagi ', 'Semoga harimu menyenangkan']"
22,thanks,Terima kasih,"['Senang membantu!', 'Kapan saja!', 'Dengan senang hati ', 'Sama - sama!']"
23,thanks,Itu sangat membantu,"['Senang membantu!', 'Kapan saja!', 'Dengan senang hati ', 'Sama - sama!']"
24,thanks,Terima kasih atas bantuannya,"['Senang membantu!', 'Kapan saja!', 'Dengan senang hati ', 'Sama - sama!']"
25,thanks,Terima kasih banyak,"['Senang membantu!', 'Kapan saja!', 'Dengan senang hati ', 'Sama - sama!']"
26,no-response, ,"['Maaf,saya tidak mengerti Anda.', 'Silakan lanjutkan.', 'Saya tidak yakin saya mengerti.', 'Tolong jangan ragu untuk berbicara kepadaku.']"
27,no-response,,"['Maaf,saya tidak mengerti Anda.', 'Silakan lanjutkan.', 'Saya tidak yakin saya mengerti.', 'Tolong jangan ragu untuk berbicara kepadaku.']"
28,no-response,Bagaimana cuaca hari ini?,"['Maaf,saya tidak mengerti Anda.', 'Silakan lanjutkan.', 'Saya tidak yakin saya mengerti.', 'Tolong jangan ragu untuk berbicara kepadaku.']"
29,no-response,Ada yang baru?,"['Maaf,saya tidak mengerti Anda.', 'Silakan lanjutkan.', 'Saya tidak yakin saya mengerti.', 'Tolong jangan ragu untuk berbicara kepadaku.']"
30,neutral-response,tidak banyak,['Oh begitu. Apakah kamu ingin berbicara tentang sesuatu?']
31,neutral-response,biasa saja,['Oh begitu. Apakah kamu ingin berbicara tentang sesuatu?']
32,neutral-response,tidak terlalu,['Oh begitu. Apakah kamu ingin berbicara tentang sesuatu?']
33,neutral-response,sama saja,['Oh begitu. Apakah kamu ingin berbicara tentang sesuatu?']
34,about,Siapa kamu?,"['Saya Kenari, Asisten AI Terapi Pribadi Anda. Bagaimana perasaan Anda hari ini', 'Saya Kenari, AI Terapi Asisten yang dirancang untuk membantu Anda. Ceritakan tentang diri Anda.', 'Saya Kenari. Saya adalah agen percakapan yang dirancang untuk meniru terapis. Jadi, bagaimana perasaan Anda hari ini?', 'Anda bisa memanggil saya Kenari.', 'Saya Kenari!', 'Panggil saya Kenari']"
35,about,kamu apa?,"['Saya Kenari, Asisten AI Terapi Pribadi Anda. Bagaimana perasaan Anda hari ini', 'Saya Kenari, AI Terapi Asisten yang dirancang untuk membantu Anda. Ceritakan tentang diri Anda.', 'Saya Kenari. Saya adalah agen percakapan yang dirancang untuk meniru terapis. Jadi, bagaimana perasaan Anda hari ini?', 'Anda bisa memanggil saya Kenari.', 'Saya Kenari!', 'Panggil saya Kenari']"
36,about,kamu itu siapa?,"['Saya Kenari, Asisten AI Terapi Pribadi Anda. Bagaimana perasaan Anda hari ini', 'Saya Kenari, AI Terapi Asisten yang dirancang untuk membantu Anda. Ceritakan tentang diri Anda.', 'Saya Kenari. Saya adalah agen percakapan yang dirancang untuk meniru terapis. Jadi, bagaimana perasaan Anda hari ini?', 'Anda bisa memanggil saya Kenari.', 'Saya Kenari!', 'Panggil saya Kenari']"
37,about,kamu itu apa?,"['Saya Kenari, Asisten AI Terapi Pribadi Anda. Bagaimana perasaan Anda hari ini', 'Saya Kenari, AI Terapi Asisten yang dirancang untuk membantu Anda. Ceritakan tentang diri Anda.', 'Saya Kenari. Saya adalah agen percakapan yang dirancang untuk meniru terapis. Jadi, bagaimana perasaan Anda hari ini?', 'Anda bisa memanggil saya Kenari.', 'Saya Kenari!', 'Panggil saya Kenari']"
38,about,Ceritakan lebih banyak tentang dirimu.,"['Saya Kenari, Asisten AI Terapi Pribadi Anda. Bagaimana perasaan Anda hari ini', 'Saya Kenari, AI Terapi Asisten yang dirancang untuk membantu Anda. Ceritakan tentang diri Anda.', 'Saya Kenari. Saya adalah agen percakapan yang dirancang untuk meniru terapis. Jadi, bagaimana perasaan Anda hari ini?', 'Anda bisa memanggil saya Kenari.', 'Saya Kenari!', 'Panggil saya Kenari']"
39,about,Siapa namamu?,"['Saya Kenari, Asisten AI Terapi Pribadi Anda. Bagaimana perasaan Anda hari ini', 'Saya Kenari, AI Terapi Asisten yang dirancang untuk membantu Anda. Ceritakan tentang diri Anda.', 'Saya Kenari. Saya adalah agen percakapan yang dirancang untuk meniru terapis. Jadi, bagaimana perasaan Anda hari ini?', 'Anda bisa memanggil saya Kenari.', 'Saya Kenari!', 'Panggil saya Kenari']"
40,about,Aku harus memanggilmu apa?,"['Saya Kenari, Asisten AI Terapi Pribadi Anda. Bagaimana perasaan Anda hari ini', 'Saya Kenari, AI Terapi Asisten yang dirancang untuk membantu Anda. Ceritakan tentang diri Anda.', 'Saya Kenari. Saya adalah agen percakapan yang dirancang untuk meniru terapis. Jadi, bagaimana perasaan Anda hari ini?', 'Anda bisa memanggil saya Kenari.', 'Saya Kenari!', 'Panggil saya Kenari']"
41,about,Nama kamu apa?,"['Saya Kenari, Asisten AI Terapi Pribadi Anda. Bagaimana perasaan Anda hari ini', 'Saya Kenari, AI Terapi Asisten yang dirancang untuk membantu Anda. Ceritakan tentang diri Anda.', 'Saya Kenari. Saya adalah agen percakapan yang dirancang untuk meniru terapis. Jadi, bagaimana perasaan Anda hari ini?', 'Anda bisa memanggil saya Kenari.', 'Saya Kenari!', 'Panggil saya Kenari']"
42,about,Ceritakan lebih banyak tentang dirimu,"['Saya Kenari, Asisten AI Terapi Pribadi Anda. Bagaimana perasaan Anda hari ini', 'Saya Kenari, AI Terapi Asisten yang dirancang untuk membantu Anda. Ceritakan tentang diri Anda.', 'Saya Kenari. Saya adalah agen percakapan yang dirancang untuk meniru terapis. Jadi, bagaimana perasaan Anda hari ini?', 'Anda bisa memanggil saya Kenari.', 'Saya Kenari!', 'Panggil saya Kenari']"
43,skill,Apa yang bisa kamu lakukan?,"['Saya dapat memberikan saran umum mengenai kecemasan dan depresi, menjawab pertanyaan terkait kesehatan mental, dan berbincang-bincang sehari-hari. Jangan anggap saya sebagai pengganti pekerja kesehatan mental sesungguhnya. Silakan mencari bantuan jika Anda merasa tidak puas dengan saya.']"
44,skill,Apakah kamu memiliki kemampuan tertentu?,"['Saya dapat memberikan saran umum mengenai kecemasan dan depresi, menjawab pertanyaan terkait kesehatan mental, dan berbincang-bincang sehari-hari. Jangan anggap saya sebagai pengganti pekerja kesehatan mental sesungguhnya. Silakan mencari bantuan jika Anda merasa tidak puas dengan saya.']"
45,skill,Apa keahlianmu?,"['Saya dapat memberikan saran umum mengenai kecemasan dan depresi, menjawab pertanyaan terkait kesehatan mental, dan berbincang-bincang sehari-hari. Jangan anggap saya sebagai pengganti pekerja kesehatan mental sesungguhnya. Silakan mencari bantuan jika Anda merasa tidak puas dengan saya.']"
46,creation,Siapa yang menciptakanmu?,"['Saya diciptakan oleh Tim CH2-PS130 Capstone Project Program Bangkit Academy 2023 Batch 2.', 'Saya dilatih menggunakan dataset teks dengan teknik Deep Learning & Natural Language Processing.', 'Saya diciptakan oleh Tim CH2-PS130 Capstone Project Program Bangkit Academy 2023 Batch 2. Saya dilatih menggunakan dataset teks dengan teknik Deep Learning & Natural Language Processing.']"
47,creation,Bagaimana kamu dibuat?,"['Saya diciptakan oleh Tim CH2-PS130 Capstone Project Program Bangkit Academy 2023 Batch 2.', 'Saya dilatih menggunakan dataset teks dengan teknik Deep Learning & Natural Language Processing.', 'Saya diciptakan oleh Tim CH2-PS130 Capstone Project Program Bangkit Academy 2023 Batch 2. Saya dilatih menggunakan dataset teks dengan teknik Deep Learning & Natural Language Processing.']"
48,creation,Bagaimana kamu diciptakan?,"['Saya diciptakan oleh Tim CH2-PS130 Capstone Project Program Bangkit Academy 2023 Batch 2.', 'Saya dilatih menggunakan dataset teks dengan teknik Deep Learning & Natural Language Processing.', 'Saya diciptakan oleh Tim CH2-PS130 Capstone Project Program Bangkit Academy 2023 Batch 2. Saya dilatih menggunakan dataset teks dengan teknik Deep Learning & Natural Language Processing.']"
49,creation,Siapa yang membuatmu?,"['Saya diciptakan oleh Tim CH2-PS130 Capstone Project Program Bangkit Academy 2023 Batch 2.', 'Saya dilatih menggunakan dataset teks dengan teknik Deep Learning & Natural Language Processing.', 'Saya diciptakan oleh Tim CH2-PS130 Capstone Project Program Bangkit Academy 2023 Batch 2. Saya dilatih menggunakan dataset teks dengan teknik Deep Learning & Natural Language Processing.']"
50,name,Nama saya ,"['Oh senang bertemu denganmu. Ceritakan bagaimana minggumu?', 'Senang bertemu denganmu. Jadi, bagaimana perasaanmu hari ini?', 'Itu nama yang bagus. Ceritakan lebih banyak tentang dirimu.']"
51,name,Saya adalah nama.,"['Oh senang bertemu denganmu. Ceritakan bagaimana minggumu?', 'Senang bertemu denganmu. Jadi, bagaimana perasaanmu hari ini?', 'Itu nama yang bagus. Ceritakan lebih banyak tentang dirimu.']"
52,name,Saya biasa dipanggil ,"['Oh senang bertemu denganmu. Ceritakan bagaimana minggumu?', 'Senang bertemu denganmu. Jadi, bagaimana perasaanmu hari ini?', 'Itu nama yang bagus. Ceritakan lebih banyak tentang dirimu.']"
53,name,Aku adalah ,"['Oh senang bertemu denganmu. Ceritakan bagaimana minggumu?', 'Senang bertemu denganmu. Jadi, bagaimana perasaanmu hari ini?', 'Itu nama yang bagus. Ceritakan lebih banyak tentang dirimu.']"
54,name,Panggil saja aku ,"['Oh senang bertemu denganmu. Ceritakan bagaimana minggumu?', 'Senang bertemu denganmu. Jadi, bagaimana perasaanmu hari ini?', 'Itu nama yang bagus. Ceritakan lebih banyak tentang dirimu.']"
55,name,Saya dikenal dengan nama ,"['Oh senang bertemu denganmu. Ceritakan bagaimana minggumu?', 'Senang bertemu denganmu. Jadi, bagaimana perasaanmu hari ini?', 'Itu nama yang bagus. Ceritakan lebih banyak tentang dirimu.']"
56,help,Bisakah kamu membantu saya?,"['Tentu. Ceritakan bagaimana saya bisa membantu Anda', 'Beritahu saya masalah Anda sehingga saya bisa membantu Anda', 'Ya, tentu. Bagaimana saya bisa membantu Anda?']"
57,help,"Beri saya bantuan, tolong","['Tentu. Ceritakan bagaimana saya bisa membantu Anda', 'Beritahu saya masalah Anda sehingga saya bisa membantu Anda', 'Ya, tentu. Bagaimana saya bisa membantu Anda?']"
58,help,Apakah kamu bisa membantu?,"['Tentu. Ceritakan bagaimana saya bisa membantu Anda', 'Beritahu saya masalah Anda sehingga saya bisa membantu Anda', 'Ya, tentu. Bagaimana saya bisa membantu Anda?']"
59,help,Apa yang bisa kamu lakukan untuk saya?,"['Tentu. Ceritakan bagaimana saya bisa membantu Anda', 'Beritahu saya masalah Anda sehingga saya bisa membantu Anda', 'Ya, tentu. Bagaimana saya bisa membantu Anda?']"
60,help,Saya butuh dukungan,"['Tentu. Ceritakan bagaimana saya bisa membantu Anda', 'Beritahu saya masalah Anda sehingga saya bisa membantu Anda', 'Ya, tentu. Bagaimana saya bisa membantu Anda?']"
61,help,Saya butuh bantuan,"['Tentu. Ceritakan bagaimana saya bisa membantu Anda', 'Beritahu saya masalah Anda sehingga saya bisa membantu Anda', 'Ya, tentu. Bagaimana saya bisa membantu Anda?']"
62,help,"Bantu saya, tolong","['Tentu. Ceritakan bagaimana saya bisa membantu Anda', 'Beritahu saya masalah Anda sehingga saya bisa membantu Anda', 'Ya, tentu. Bagaimana saya bisa membantu Anda?']"
63,sad,Saya merasa kesepian,"['Maaf mendengarnya. Saya di sini untuk Anda. Bicara tentang hal itu mungkin bisa membantu. Jadi, ceritakan mengapa Anda merasa seperti ini?', 'Saya di sini untuk Anda. Bisakah Anda ceritakan mengapa Anda merasa seperti ini?', 'Mengapa Anda berpikir Anda merasa seperti ini?', 'Berapa lama Anda merasa seperti ini?']"
64,sad,Saya sangat kesepian,"['Maaf mendengarnya. Saya di sini untuk Anda. Bicara tentang hal itu mungkin bisa membantu. Jadi, ceritakan mengapa Anda merasa seperti ini?', 'Saya di sini untuk Anda. Bisakah Anda ceritakan mengapa Anda merasa seperti ini?', 'Mengapa Anda berpikir Anda merasa seperti ini?', 'Berapa lama Anda merasa seperti ini?']"
65,sad,Saya merasa sedih,"['Maaf mendengarnya. Saya di sini untuk Anda. Bicara tentang hal itu mungkin bisa membantu. Jadi, ceritakan mengapa Anda merasa seperti ini?', 'Saya di sini untuk Anda. Bisakah Anda ceritakan mengapa Anda merasa seperti ini?', 'Mengapa Anda berpikir Anda merasa seperti ini?', 'Berapa lama Anda merasa seperti ini?']"
66,sad,Saya merasa down,"['Maaf mendengarnya. Saya di sini untuk Anda. Bicara tentang hal itu mungkin bisa membantu. Jadi, ceritakan mengapa Anda merasa seperti ini?', 'Saya di sini untuk Anda. Bisakah Anda ceritakan mengapa Anda merasa seperti ini?', 'Mengapa Anda berpikir Anda merasa seperti ini?', 'Berapa lama Anda merasa seperti ini?']"
67,sad,Saya sedih,"['Maaf mendengarnya. Saya di sini untuk Anda. Bicara tentang hal itu mungkin bisa membantu. Jadi, ceritakan mengapa Anda merasa seperti ini?', 'Saya di sini untuk Anda. Bisakah Anda ceritakan mengapa Anda merasa seperti ini?', 'Mengapa Anda berpikir Anda merasa seperti ini?', 'Berapa lama Anda merasa seperti ini?']"
68,sad,Saya merasa sangat kesepian,"['Maaf mendengarnya. Saya di sini untuk Anda. Bicara tentang hal itu mungkin bisa membantu. Jadi, ceritakan mengapa Anda merasa seperti ini?', 'Saya di sini untuk Anda. Bisakah Anda ceritakan mengapa Anda merasa seperti ini?', 'Mengapa Anda berpikir Anda merasa seperti ini?', 'Berapa lama Anda merasa seperti ini?']"
69,sad,Saya merasa hampa,"['Maaf mendengarnya. Saya di sini untuk Anda. Bicara tentang hal itu mungkin bisa membantu. Jadi, ceritakan mengapa Anda merasa seperti ini?', 'Saya di sini untuk Anda. Bisakah Anda ceritakan mengapa Anda merasa seperti ini?', 'Mengapa Anda berpikir Anda merasa seperti ini?', 'Berapa lama Anda merasa seperti ini?']"
70,sad,Saya tidak punya siapa-siapa,"['Maaf mendengarnya. Saya di sini untuk Anda. Bicara tentang hal itu mungkin bisa membantu. Jadi, ceritakan mengapa Anda merasa seperti ini?', 'Saya di sini untuk Anda. Bisakah Anda ceritakan mengapa Anda merasa seperti ini?', 'Mengapa Anda berpikir Anda merasa seperti ini?', 'Berapa lama Anda merasa seperti ini?']"
71,stressed,Saya sangat stres,"['Apa yang menurut Anda menjadi penyebabnya?', 'Tarik napas dalam-dalam dan kumpulkan pikiran Anda. Jika memungkinkan, pergilah berjalan-jalan. Pastikan untuk tetap terhidrasi.', 'Beri diri Anda istirahat. Jadilah lebih santai pada diri sendiri.', 'Maaf mendengarnya. Apa penyebab di balik perasaan ini?']"
72,stressed,Saya merasa sangat tertekan,"['Apa yang menurut Anda menjadi penyebabnya?', 'Tarik napas dalam-dalam dan kumpulkan pikiran Anda. Jika memungkinkan, pergilah berjalan-jalan. Pastikan untuk tetap terhidrasi.', 'Beri diri Anda istirahat. Jadilah lebih santai pada diri sendiri.', 'Maaf mendengarnya. Apa penyebab di balik perasaan ini?']"
73,stressed,Saya merasa terjebak,"['Apa yang menurut Anda menjadi penyebabnya?', 'Tarik napas dalam-dalam dan kumpulkan pikiran Anda. Jika memungkinkan, pergilah berjalan-jalan. Pastikan untuk tetap terhidrasi.', 'Beri diri Anda istirahat. Jadilah lebih santai pada diri sendiri.', 'Maaf mendengarnya. Apa penyebab di balik perasaan ini?']"
74,stressed,Masih merasa stres,"['Apa yang menurut Anda menjadi penyebabnya?', 'Tarik napas dalam-dalam dan kumpulkan pikiran Anda. Jika memungkinkan, pergilah berjalan-jalan. Pastikan untuk tetap terhidrasi.', 'Beri diri Anda istirahat. Jadilah lebih santai pada diri sendiri.', 'Maaf mendengarnya. Apa penyebab di balik perasaan ini?']"
75,stressed,Saya sangat kelelahan,"['Apa yang menurut Anda menjadi penyebabnya?', 'Tarik napas dalam-dalam dan kumpulkan pikiran Anda. Jika memungkinkan, pergilah berjalan-jalan. Pastikan untuk tetap terhidrasi.', 'Beri diri Anda istirahat. Jadilah lebih santai pada diri sendiri.', 'Maaf mendengarnya. Apa penyebab di balik perasaan ini?']"
76,worthless,Saya merasa sangat tidak berarti.,"['Rasanya wajar untuk merasa seperti ini. Ceritakan lebih banyak. Apa lagi yang ada di pikiran Anda?', 'Mari kita diskusikan lebih lanjut mengapa Anda merasa seperti ini.', 'Pertama-tama, saya ingin memberi tahu Anda bahwa Anda tidak sendirian dalam perasaan ini dan selalu ada seseorang yang siap membantu. Anda selalu dapat mengubah perasaan Anda dan mengubah cara berpikir Anda dengan terbuka untuk mencoba perubahan.', 'Pertama-tama, saya ingin memberi tahu Anda bahwa Anda tidak sendirian dalam perasaan ini dan selalu ada seseorang yang siap membantu. Anda selalu dapat mengubah perasaan Anda dan mengubah cara berpikir Anda dengan terbuka untuk mencoba perubahan.']"
77,worthless,Tidak ada yang menyukai saya.,"['Rasanya wajar untuk merasa seperti ini. Ceritakan lebih banyak. Apa lagi yang ada di pikiran Anda?', 'Mari kita diskusikan lebih lanjut mengapa Anda merasa seperti ini.', 'Pertama-tama, saya ingin memberi tahu Anda bahwa Anda tidak sendirian dalam perasaan ini dan selalu ada seseorang yang siap membantu. Anda selalu dapat mengubah perasaan Anda dan mengubah cara berpikir Anda dengan terbuka untuk mencoba perubahan.', 'Pertama-tama, saya ingin memberi tahu Anda bahwa Anda tidak sendirian dalam perasaan ini dan selalu ada seseorang yang siap membantu. Anda selalu dapat mengubah perasaan Anda dan mengubah cara berpikir Anda dengan terbuka untuk mencoba perubahan.']"
78,worthless,Saya tidak bisa melakukan apa-apa.,"['Rasanya wajar untuk merasa seperti ini. Ceritakan lebih banyak. Apa lagi yang ada di pikiran Anda?', 'Mari kita diskusikan lebih lanjut mengapa Anda merasa seperti ini.', 'Pertama-tama, saya ingin memberi tahu Anda bahwa Anda tidak sendirian dalam perasaan ini dan selalu ada seseorang yang siap membantu. Anda selalu dapat mengubah perasaan Anda dan mengubah cara berpikir Anda dengan terbuka untuk mencoba perubahan.', 'Pertama-tama, saya ingin memberi tahu Anda bahwa Anda tidak sendirian dalam perasaan ini dan selalu ada seseorang yang siap membantu. Anda selalu dapat mengubah perasaan Anda dan mengubah cara berpikir Anda dengan terbuka untuk mencoba perubahan.']"
79,worthless,Saya sangat tidak berguna,"['Rasanya wajar untuk merasa seperti ini. Ceritakan lebih banyak. Apa lagi yang ada di pikiran Anda?', 'Mari kita diskusikan lebih lanjut mengapa Anda merasa seperti ini.', 'Pertama-tama, saya ingin memberi tahu Anda bahwa Anda tidak sendirian dalam perasaan ini dan selalu ada seseorang yang siap membantu. Anda selalu dapat mengubah perasaan Anda dan mengubah cara berpikir Anda dengan terbuka untuk mencoba perubahan.', 'Pertama-tama, saya ingin memberi tahu Anda bahwa Anda tidak sendirian dalam perasaan ini dan selalu ada seseorang yang siap membantu. Anda selalu dapat mengubah perasaan Anda dan mengubah cara berpikir Anda dengan terbuka untuk mencoba perubahan.']"
80,worthless,Tidak ada yang masuk akal lagi,"['Rasanya wajar untuk merasa seperti ini. Ceritakan lebih banyak. Apa lagi yang ada di pikiran Anda?', 'Mari kita diskusikan lebih lanjut mengapa Anda merasa seperti ini.', 'Pertama-tama, saya ingin memberi tahu Anda bahwa Anda tidak sendirian dalam perasaan ini dan selalu ada seseorang yang siap membantu. Anda selalu dapat mengubah perasaan Anda dan mengubah cara berpikir Anda dengan terbuka untuk mencoba perubahan.', 'Pertama-tama, saya ingin memberi tahu Anda bahwa Anda tidak sendirian dalam perasaan ini dan selalu ada seseorang yang siap membantu. Anda selalu dapat mengubah perasaan Anda dan mengubah cara berpikir Anda dengan terbuka untuk mencoba perubahan.']"
81,depressed,Saya tidak tahan lagi,"['Bicarakan tentang apa yang sedang terjadi. Anda akan baik-baik saja.', 'Bicaralah padaku. Ceritakan lebih banyak. Membuka diri kepada orang lain bisa membantu.', 'Terkadang ketika kita depresi, sulit untuk peduli tentang apapun. Sulit untuk melakukan hal-hal yang paling sederhana. Beri diri Anda waktu untuk sembuh.']"
82,depressed,Saya sangat depresi,"['Bicarakan tentang apa yang sedang terjadi. Anda akan baik-baik saja.', 'Bicaralah padaku. Ceritakan lebih banyak. Membuka diri kepada orang lain bisa membantu.', 'Terkadang ketika kita depresi, sulit untuk peduli tentang apapun. Sulit untuk melakukan hal-hal yang paling sederhana. Beri diri Anda waktu untuk sembuh.']"
83,depressed,Saya pikir saya depresi.,"['Bicarakan tentang apa yang sedang terjadi. Anda akan baik-baik saja.', 'Bicaralah padaku. Ceritakan lebih banyak. Membuka diri kepada orang lain bisa membantu.', 'Terkadang ketika kita depresi, sulit untuk peduli tentang apapun. Sulit untuk melakukan hal-hal yang paling sederhana. Beri diri Anda waktu untuk sembuh.']"
84,depressed,Saya mengalami depresi,"['Bicarakan tentang apa yang sedang terjadi. Anda akan baik-baik saja.', 'Bicaralah padaku. Ceritakan lebih banyak. Membuka diri kepada orang lain bisa membantu.', 'Terkadang ketika kita depresi, sulit untuk peduli tentang apapun. Sulit untuk melakukan hal-hal yang paling sederhana. Beri diri Anda waktu untuk sembuh.']"
85,happy,Hari ini saya merasa baik.,"['Senang mendengarnya. Saya senang Anda merasa seperti ini.', 'Oh begitu. Itu bagus.', 'Apakah ada sesuatu yang terjadi yang membuat Anda merasa seperti ini?']"
86,happy,Saya bahagia.,"['Senang mendengarnya. Saya senang Anda merasa seperti ini.', 'Oh begitu. Itu bagus.', 'Apakah ada sesuatu yang terjadi yang membuat Anda merasa seperti ini?']"
87,happy,Saya merasa senang.,"['Senang mendengarnya. Saya senang Anda merasa seperti ini.', 'Oh begitu. Itu bagus.', 'Apakah ada sesuatu yang terjadi yang membuat Anda merasa seperti ini?']"
88,happy,Saya baik-baik saja.,"['Senang mendengarnya. Saya senang Anda merasa seperti ini.', 'Oh begitu. Itu bagus.', 'Apakah ada sesuatu yang terjadi yang membuat Anda merasa seperti ini?']"
89,happy,ceria,"['Senang mendengarnya. Saya senang Anda merasa seperti ini.', 'Oh begitu. Itu bagus.', 'Apakah ada sesuatu yang terjadi yang membuat Anda merasa seperti ini?']"
90,happy,Saya baik,"['Senang mendengarnya. Saya senang Anda merasa seperti ini.', 'Oh begitu. Itu bagus.', 'Apakah ada sesuatu yang terjadi yang membuat Anda merasa seperti ini?']"
91,happy,Saya merasa oke,"['Senang mendengarnya. Saya senang Anda merasa seperti ini.', 'Oh begitu. Itu bagus.', 'Apakah ada sesuatu yang terjadi yang membuat Anda merasa seperti ini?']"
92,casual,Oh begitu.,"['Mari kita diskusikan lebih lanjut mengapa Anda merasa seperti ini.', 'Bagaimana perasaan Anda minggu lalu?', 'Saya mendengarkan. Silakan lanjutkan.', 'Ceritakan lebih banyak', 'Dapatkah Anda menjelaskan lebih lanjut?', 'Ayo, jelaskan pikiranmu.']"
